"Date","Video Views","Profile Views","Likes","Comments","Shares","Unique Viewers"
"2023-09-14","258","3","7","4","0","190"
"2023-09-15","83","1","3","1","0","66"
"2023-09-16","82","1","1","0","1","67"
"2023-09-17","364","14","15","11","0","275"
"2023-09-18","107","0","4","0","0","65"
"2023-09-19","79","2","4","0","0","60"
"2023-09-20","89","2","1","0","0","62"
"2023-09-21","66","2","0","0","0","56"
"2023-09-22","63","0","1","0","0","52"
"2023-09-23","225","1","4","0","0","126"
"2023-09-24","92","1","0","0","0","74"
"2023-09-25","72","1","0","0","0","58"
"2023-09-26","87","3","0","0","0","70"
"2023-09-27","58","0","1","1","0","47"
"2023-09-28","63","3","2","0","0","56"
"2023-09-29","435","4","11","5","0","374"
"2023-09-30","96","2","6","1","0","76"
"2023-10-01","107","8","4","0","0","63"
"2023-10-02","68","1","1","0","0","56"
"2023-10-03","79","0","2","0","1","70"
"2023-10-04","77","1","1","0","0","60"
"2023-10-05","60","1","0","0","0","53"
"2023-10-06","71","2","2","0","0","55"
"2023-10-07","45","1","3","0","0","38"
"2023-10-08","73","1","0","0","0","56"
"2023-10-09","68","2","1","0","0","55"
"2023-10-10","62","2","0","0","0","52"
"2023-10-11","64","1","1","0","0","55"
"2023-10-12","73","1","1","0","0","57"
"2023-10-13","62","2","1","0","0","49"
"2023-10-14","508","3","12","7","0","408"
"2023-10-15","675","4","22","1","4","590"
"2023-10-16","715","6","18","5","0","602"
"2023-10-17","403","1","9","5","0","335"
"2023-10-18","64","0","0","0","0","58"
"2023-10-19","101","3","3","2","0","56"
"2023-10-20","73","2","1","0","1","57"
"2023-10-21","53","0","1","0","0","50"
"2023-10-22","45","0","0","0","0","39"
"2023-10-23","484","4","19","2","2","385"
"2023-10-24","1176","16","40","5","2","937"
"2023-10-25","635","3","21","8","1","544"
"2023-10-26","212","3","11","2","0","169"
"2023-10-27","471","5","14","0","2","411"
"2023-10-28","326","0","9","5","0","274"
"2023-10-29","421","6","14","7","0","338"
"2023-10-30","147","0","3","1","0","106"
"2023-10-31","758","10","13","4","1","650"
"2023-11-01","433","2","7","0","1","386"
"2023-11-02","92","0","3","0","0","81"
"2023-11-03","86","3","2","0","0","70"
"2023-11-04","78","1","1","0","0","67"
"2023-11-05","79","0","1","0","0","64"
"2023-11-06","542","7","9","5","4","460"
"2023-11-07","127","5","7","0","2","92"
"2023-11-08","316","3","15","6","1","274"
"2023-11-09","1143","6","19","3","1","961"
"2023-11-10","668","2","8","3","1","579"
"2023-11-11","92","0","4","0","0","84"
"2023-11-12","131","1","0","0","0","95"